School Year,Division Number,Division Name,School Number,School Name,Subject,Test Source,Pass Rate,Division Number,State School ID
2017-2018,002,Albemarle County,1052,Monticello High,English:Reading,SOL,83.7,002,VA-002-0021052
2017-2018,002,Albemarle County,1053,Baker-Butler Elem,Science,SOL,81.55,002,VA-002-0021053
2017-2018,002,Albemarle County,1053,Baker-Butler Elem,English:Reading,SOL,83.64,002,VA-002-0021053
2017-2018,002,Albemarle County,1053,Baker-Butler Elem,Mathematics,SOL,84.62,002,VA-002-0021053
2017-2018,002,Albemarle County,1053,Baker-Butler Elem,History and Social Science,SOL,89.9,002,VA-002-0021053
2017-2018,002,Albemarle County,1060,Albemarle County Community Public Charter,Mathematics,SOL,35.9,002,VA-002-0021060
2017-2018,002,Albemarle County,1060,Albemarle County Community Public Charter,English:Reading,SOL,52.63,002,VA-002-0021060
2017-2018,002,Albemarle County,1060,Albemarle County Community Public Charter,Science,SOL,69.23,002,VA-002-0021060
2017-2018,002,Albemarle County,1060,Albemarle County Community Public Charter,English:Writing,SOL,<50,002,VA-002-0021060
2017-2018,003,Alleghany County,90,Sharon Elementary,English:Reading,SOL,73.12,003,VA-003-0030090
2017-2018,003,Alleghany County,90,Sharon Elementary,Mathematics,SOL,74.19,003,VA-003-0030090
2017-2018,003,Alleghany County,90,Sharon Elementary,Science,SOL,79.31,003,VA-003-0030090
2017-2018,003,Alleghany County,90,Sharon Elementary,History and Social Science,SOL,86.21,003,VA-003-0030090
2017-2018,003,Alleghany County,110,Callaghan Elementary,Mathematics,SOL,77.89,003,VA-003-0030110
2017-2018,003,Alleghany County,110,Callaghan Elementary,Science,SOL,79.31,003,VA-003-0030110
2017-2018,003,Alleghany County,110,Callaghan Elementary,English:Reading,SOL,81.05,003,VA-003-0030110
2017-2018,003,Alleghany County,110,Callaghan Elementary,History and Social Science,SOL,89.66,003,VA-003-0030110
2017-2018,003,Alleghany County,310,Alleghany High,Mathematics,SOL,72.51,003,VA-003-0030310
2017-2018,003,Alleghany County,310,Alleghany High,English:Writing,SOL,73.56,003,VA-003-0030310
2017-2018,003,Alleghany County,310,Alleghany High,History and Social Science,SOL,78.29,003,VA-003-0030310
2017-2018,003,Alleghany County,310,Alleghany High,English:Reading,SOL,79.9,003,VA-003-0030310
2017-2018,003,Alleghany County,310,Alleghany High,Science,SOL,82.3,003,VA-003-0030310
2017-2018,003,Alleghany County,1040,Clifton Middle,English:Writing,SOL,73.15,003,VA-003-0031040
2017-2018,003,Alleghany County,1040,Clifton Middle,Science,SOL,76.16,003,VA-003-0031040
2017-2018,003,Alleghany County,1040,Clifton Middle,English:Reading,SOL,77.17,003,VA-003-0031040
2017-2018,003,Alleghany County,1040,Clifton Middle,Mathematics,SOL,78.81,003,VA-003-0031040
2017-2018,003,Alleghany County,1040,Clifton Middle,History and Social Science,SOL,89.4,003,VA-003-0031040
2017-2018,003,Alleghany County,1041,Mountain View Elementary,Mathematics,SOL,60.52,003,VA-003-0031041
2017-2018,003,Alleghany County,1041,Mountain View Elementary,English:Reading,SOL,66.1,003,VA-003-0031041
2017-2018,003,Alleghany County,1041,Mountain View Elementary,History and Social Science,SOL,73.49,003,VA-003-0031041
2017-2018,003,Alleghany County,1041,Mountain View Elementary,Science,SOL,75,003,VA-003-0031041
2017-2018,004,Amelia County,10,Amelia County High,History and Social Science,SOL,78.74,004,VA-004-0040010
2017-2018,004,Amelia County,10,Amelia County High,Science,SOL,78.82,004,VA-004-0040010
2017-2018,004,Amelia County,10,Amelia County High,Mathematics,SOL,80.5,004,VA-004-0040010
2017-2018,004,Amelia County,10,Amelia County High,English:Writing,SOL,83.56,004,VA-004-0040010
2017-2018,004,Amelia County,10,Amelia County High,English:Reading,SOL,89.66,004,VA-004-0040010
2017-2018,004,Amelia County,210,Amelia County Middle,English:Reading,SOL,74.47,004,VA-004-0040210
2017-2018,004,Amelia County,210,Amelia County Middle,English:Writing,SOL,74.8,004,VA-004-0040210
2017-2018,004,Amelia County,210,Amelia County Middle,Science,SOL,75.1,004,VA-004-0040210
