ID,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
510313000000,0,0.11,0,0.15,0.12,0.55,0.06,0.1,0.01,0.04
510313000000,0,0.13,0,0.14,0.1,0.57,0.06,0.1,0,0.13
510313000000,0,0.09,0,0.15,0.13,0.58,0.05,0.11,0,0.09
510313000000,0.01,0.11,0,0.12,0.09,0.6,0.09,0.1,0.01,0.03
510313000000,0,0.14,0,0.12,0.14,0.54,0.06,0.1,0,0.12
510313000000,0.01,0.12,0,0.28,0.16,0.35,0.08,0.09,0.01,0.27
510315000000,0,0,0,0.03,0.09,0.82,0.06,0.17,0,0.01
510315000000,0,0.01,0,0.02,0.05,0.84,0.08,0.11,0.01,0.01
510315000000,0.01,0,0,0.04,0.04,0.86,0.05,0.18,0.04,0.01
510315000000,0,0,0,0.03,0.06,0.87,0.03,0.18,0.04,0
510315000000,0.01,0.01,0,0.03,0.08,0.83,0.05,0.18,0.02,0.01
510315000000,0,0.01,0,0.07,0.04,0.85,0.03,0.12,0.02,0.02
510315000000,0,0,0,0.01,0.01,0.93,0.04,0.17,0.01,0
510315000000,0,0.01,0,0.03,0.06,0.82,0.07,0.15,0.01,0.01
510318000000,0,0.01,0,0.04,0.09,0.81,0.05,0.12,0.03,0.01
510318000000,0,0.01,0,0.05,0.1,0.75,0.1,0.17,0,0.01
510318000000,0,0.01,0,0.04,0.07,0.81,0.06,0.14,0.09,0.01
510381000000,0,0,0,0.01,0.02,0.92,0.04,0.15,0,0
510381000000,0,0,0,0.01,0,0.97,0.01,0.16,0.01,0
510381000000,0,0.01,0,0.01,0.01,0.95,0.03,0.16,0.01,0.01
510381000000,0,0.01,0,0,0,0.97,0.01,0.15,0,0
510381000000,0,0.01,0,0,0.01,0.98,0.01,0.14,0,0
510381000000,0,0,0,0.02,0,0.95,0.03,0.08,0,0
510381000000,0,0.01,0,0.01,0.05,0.9,0.03,0.1,0,0.01
510381000000,0,0,0,0.01,0.03,0.94,0.02,0.18,0.01,0.01
510381000000,0,0.01,0,0,0.02,0.94,0.02,0.17,0.01,0.01
510384000000,0,0.08,0.01,0.08,0.17,0.59,0.06,0.14,0.01,0.01
510384000000,0,0.08,0.01,0.1,0.33,0.38,0.1,0.12,0.01,0.01
510384000000,0,0.12,0.01,0.09,0.26,0.42,0.09,0.14,0.01,0.01
510384000000,0,0.04,0.01,0.09,0.05,0.72,0.1,0.11,0.01,0.01
510384000000,0,0.11,0,0.14,0.23,0.4,0.11,0.12,0.01,0.02
510384000000,0,0.03,0,0.15,0.2,0.49,0.12,0.22,0.02,0.01
510384000000,0,0.07,0,0.09,0.14,0.62,0.08,0.14,0,0
510384000000,0,0.06,0.01,0.13,0.36,0.35,0.09,0.15,0,0.01
510384000000,0,0.17,0.01,0.05,0.05,0.63,0.09,0.03,0.01,0
510384000000,0,0.05,0.01,0.12,0.22,0.52,0.09,0.18,0.01,0.01
510384000000,0.01,0.04,0,0.15,0.1,0.56,0.13,0.12,0.01,0.02
510384000000,0,0.03,0.01,0.15,0.17,0.53,0.1,0.11,0.02,0.02
510384000000,0.01,0.03,0,0.09,0.2,0.6,0.08,0.11,0.02,0.01
510384000000,0,0.04,0,0.26,0.26,0.35,0.09,0.15,0.01,0.05
510384000000,0,0.07,0.01,0.1,0.46,0.3,0.07,0.13,0,0.02
510384000000,0,0.04,0.01,0.1,0.58,0.18,0.09,0.17,0.01,0.02
510384000000,0,0.08,0.01,0.09,0.35,0.36,0.11,0.15,0.01,0.01
